Title,Authors and Journal,Year,Cited by,Paper URL
"Human life histories are flexible, not fixed","SM Mattison, AZ Reynolds, K Wander",2019.0,4.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:rFyVMFCKTwsC
Characterizing the extent human milk folate is buffered against maternal malnutrition and infection in drought‐stricken northern Kenya,"M Fujita, K Wander, T Tran, E Brindle",2022.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:2Q0AJrNhS-QC
"A multicenter analytical performance evaluation of a multiplexed immunoarray for the simultaneous measurement of biomarkers of micronutrient deficiency, inflammation and …","E Brindle, L Lillis, R Barney, P Bansil, SY Hess, KR Wessells, ...",2021.0,3.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:cdwqcPQS8ssC
"Community voices: broadening participation in Science, Technology, Engineering, Mathematics, and Medicine among persons with disabilities","SM Mattison, L Gin, AA Abraham, M Moodie, F Okanlami, K Wander",2022.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:GHsHDPAyICYC
Tradeoffs in milk immunity affect infant infectious disease risk,"K Wander, M Fujita, SM Mattison, M Duris, M Gauck, T Hopt, K Lacy, ...",2022.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:vjZqxyZ7hS4C
Reference guide: Factorial focus group analysis methods for studying social norm change,"B Shell-Duncan, A Moreau, K Wander, S Smith",2019.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:NZNkWSpQBv0C
"Complex interactions between iron nutrition and infectious disease among children in Kilimanjaro, Tanzania.","K Wander, B Shell-Duncan, E Brindle",2016.0,2.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:dAp6zn-oMfAC
Human milk lactoferrin variation in relation to maternal inflammation and iron deficiency in northern Kenya,"M Fujita, K Wander, N Paredes Ruvalcaba, AN Odo",2022.0,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:_IsBomjs8bsC
Labor migration is associated with lower rates of underweight and higher rates of obesity among left-behind wives in rural Bangladesh: a cross-sectional study,"KK Sznajder, K Wander, S Mattison, E Medina-Romero, N Alam, R Raqib, ...",2021.0,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:NXYAu82O0W8C
High altitude adaptation mitigates anemia risk associated with diabetes among the Mosuo of Southwest China,"M Su, K Wander, MK Shenk, T Blumenfield, H Li, SM Mattison",2018.0,1.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&cstart=20&pagesize=80&citation_for_view=RQ8uyBsAAAAJ:7VEv-pLvLSsC
